seq_len,d_model,window_size,batch_size,device,avg_time_s,min_time_s,max_time_s,std_time_s,memory_mb,tokens_per_sec,total_tokens,success,error
128,256,16,2,cuda,0.003316164016723633,0.003298521041870117,0.0033431053161621094,1.9352579648914432e-05,604.75244140625,77197.6291609749,256,True,
128,256,32,2,cuda,0.0033111572265625,0.0032846927642822266,0.0033402442932128906,2.2754510642877232e-05,604.75244140625,77314.35944700461,256,True,
128,256,64,2,cuda,0.003322124481201172,0.0033032894134521484,0.003337860107421875,1.4282579685937447e-05,604.75244140625,77059.1232955361,256,True,
128,256,128,2,cuda,0.0032531420389811196,0.0032308101654052734,0.003276348114013672,1.860106380480185e-05,604.75244140625,78693.15170762691,256,True,
128,512,16,2,cuda,0.003302335739135742,0.0032901763916015625,0.003316640853881836,1.0910092533729125e-05,579.96923828125,77520.88831131326,256,True,
128,512,32,2,cuda,0.003323237101236979,0.0033104419708251953,0.0033440589904785156,1.4851434174879982e-05,578.96923828125,77033.32389515975,256,True,
128,512,64,2,cuda,0.0033403237660725913,0.0033278465270996094,0.0033478736877441406,8.887468057597012e-06,578.96923828125,76639.27748566534,256,True,
128,512,128,2,cuda,0.0032622814178466797,0.003236532211303711,0.003283977508544922,1.9580345053391247e-05,577.96923828125,78472.6904918512,256,True,
128,768,16,2,cuda,0.0033971468607584634,0.003385305404663086,0.003412961959838867,1.1635108937381237e-05,539.18603515625,75357.35441912693,256,True,
128,768,32,2,cuda,0.003424485524495443,0.003405332565307617,0.003451824188232422,1.9843085609687528e-05,539.18603515625,74755.75474588071,256,True,
128,768,64,2,cuda,0.003438154856363932,0.003396749496459961,0.0034673213958740234,3.008255075845334e-05,539.18603515625,74458.54264712681,256,True,
128,768,128,2,cuda,0.0033632914225260415,0.003358125686645508,0.003368854522705078,4.389032132302626e-06,539.18603515625,76115.91379962194,256,True,
128,1024,16,2,cuda,0.0033895174662272134,0.003362894058227539,0.003439664840698242,3.548211764819053e-05,482.40283203125,75526.97472450176,256,True,
128,1024,32,2,cuda,0.0034144719441731772,0.003391742706298828,0.0034368038177490234,1.8398267401597436e-05,482.40283203125,74974.99003817148,256,True,
128,1024,64,2,cuda,0.0034142335255940757,0.003404378890991211,0.0034275054931640625,9.745718905292785e-06,482.40283203125,74980.22559996275,256,True,
128,1024,128,2,cuda,0.003329038619995117,0.0033042430877685547,0.003365755081176758,2.6489151787435817e-05,482.40283203125,76899.07784859987,256,True,
512,256,16,2,cuda,0.0033042430877685547,0.0032851696014404297,0.003319263458251953,1.4210760690623284e-05,602.50244140625,309904.5599249585,1024,True,
512,256,32,2,cuda,0.00328675905863444,0.0032646656036376953,0.0032987594604492188,1.5641825553552743e-05,602.50244140625,311553.1080107358,1024,True,
512,256,64,2,cuda,0.003306706746419271,0.0032682418823242188,0.0033271312713623047,2.721617671973344e-05,602.50244140625,309673.6658334935,1024,True,
512,256,128,2,cuda,0.0033164024353027344,0.003290891647338867,0.003331899642944336,1.8177234278943266e-05,602.50244140625,308768.31746944645,1024,True,
512,256,256,2,cuda,0.003348668416341146,0.0033249855041503906,0.003386259078979492,2.6878515397602488e-05,602.50244140625,305793.19081070815,1024,True,
512,256,512,2,cuda,0.003248929977416992,0.0032112598419189453,0.0032944679260253906,3.442211670346924e-05,602.50244140625,315180.69244881487,1024,True,
512,512,16,2,cuda,0.0034340222676595054,0.003412485122680664,0.0034503936767578125,1.5901325698309935e-05,574.46923828125,298192.5917148808,1024,True,
512,512,32,2,cuda,0.003416140874226888,0.0033926963806152344,0.003434419631958008,1.7420697384502867e-05,575.46923828125,299753.4462719553,1024,True,
512,512,64,2,cuda,0.0034197171529134116,0.0033893585205078125,0.0034422874450683594,2.2298900521160962e-05,573.46923828125,299439.96950964443,1024,True,
512,512,128,2,cuda,0.0034200350443522134,0.0033888816833496094,0.003444671630859375,2.3237624995596263e-05,575.46923828125,299412.13663614815,1024,True,
512,512,256,2,cuda,0.00340882937113444,0.003383159637451172,0.003448963165283203,2.8745235577945145e-05,575.46923828125,300396.37908283406,1024,True,
512,512,512,2,cuda,0.0033397674560546875,0.0032944679260253906,0.0033626556396484375,3.2032196397533505e-05,573.46923828125,306608.1736150771,1024,True,
512,768,16,2,cuda,0.0035666624704996743,0.0035552978515625,0.0035867691040039062,1.4257794279519796e-05,532.43603515625,287103.1415138484,1024,True,
