seq_len,d_model,nhead,window_size,batch_size,device,avg_time_s,min_time_s,max_time_s,std_time_s,memory_mb,tokens_per_sec,total_tokens,success,error
128,256,8,16,2,cuda,0.0011442502339680989,0.0011107921600341797,0.0011894702911376953,3.317951441992242e-05,4.548828125,223727.28656757885,256,True,
128,256,8,64,2,cuda,0.0011302630106608074,0.0011174678802490234,0.001146554946899414,1.2129443510838784e-05,4.548828125,226495.95499929684,256,True,
128,256,16,16,2,cuda,0.0011588732401529949,0.0011379718780517578,0.0011813640594482422,1.7750401539402705e-05,7.798828125,220904.22932382388,256,True,
128,256,16,64,2,cuda,0.0011304219563802083,0.001116037368774414,0.0011513233184814453,1.5124501623747786e-05,7.798828125,226464.1079865017,256,True,
128,512,8,16,2,cuda,0.0011490980784098308,0.0011229515075683594,0.001180410385131836,2.3740180750564696e-05,14.533203125,222783.42015353756,256,True,
128,512,8,64,2,cuda,0.0011421839396158855,0.0011229515075683594,0.001165151596069336,1.7429396497383837e-05,14.533203125,224132.02560534372,256,True,
128,512,16,16,2,cuda,0.0011768341064453125,0.0011544227600097656,0.0012030601501464844,2.0038510693979927e-05,15.533203125,217532.78444084278,256,True,
128,512,16,64,2,cuda,0.0011290709177652996,0.0011131763458251953,0.0011546611785888672,1.8271154397960097e-05,14.533203125,226735.09340465965,256,True,
128,768,8,16,2,cuda,0.0013242562611897786,0.001262664794921875,0.0014300346374511719,7.513334061586761e-05,34.2998046875,193316.05785272762,256,True,
128,768,8,64,2,cuda,0.0013474623362223308,0.00128936767578125,0.0014448165893554688,6.926797189952901e-05,33.7998046875,189986.75741669122,256,True,
128,768,16,16,2,cuda,0.0013184547424316406,0.0012714862823486328,0.0013890266418457031,5.08053526633183e-05,33.7998046875,194166.6951175407,256,True,
128,768,16,64,2,cuda,0.0013322035471598308,0.0012772083282470703,0.001405954360961914,5.4207714639721414e-05,33.7998046875,192162.82717890592,256,True,
128,1024,8,16,2,cuda,0.0013192494710286458,0.0012633800506591797,0.0013895034790039062,5.248470929580933e-05,61.06640625,194049.72722891567,256,True,
128,1024,8,64,2,cuda,0.0013128121693929036,0.001264810562133789,0.0013885498046875,5.4189885128317075e-05,61.06640625,195001.23930019978,256,True,
128,1024,16,16,2,cuda,0.0013129711151123047,0.0012707710266113281,0.0013759136199951172,4.536097525322321e-05,61.06640625,194977.63283094243,256,True,
128,1024,16,64,2,cuda,0.0013488133748372395,0.0012886524200439453,0.0014164447784423828,5.2437756247107017e-05,61.06640625,189796.45722366252,256,True,
512,256,8,16,2,cuda,0.0011776288350423176,0.0011293888092041016,0.0012402534484863281,4.6389146225068145e-05,181.166015625,869543.9254960184,1024,True,
512,256,8,64,2,cuda,0.0011750857035319011,0.0011239051818847656,0.0012693405151367188,6.673032734344774e-05,301.265625,871425.8006222101,1024,True,
512,256,8,256,2,cuda,0.0011833508809407551,0.0011124610900878906,0.0013005733489990234,8.349288680651131e-05,301.265625,865339.2805910007,1024,True,
512,256,16,16,2,cuda,0.0011992454528808594,0.0011525154113769531,0.0012812614440917969,5.818194977825029e-05,301.265625,853870.2377733599,1024,True,
512,256,16,64,2,cuda,0.0012041727701822917,0.001169443130493164,0.001271963119506836,4.793985765546139e-05,109.7578125,850376.3125659978,1024,True,
512,256,16,256,2,cuda,0.0012023448944091797,0.001161336898803711,0.0012836456298828125,5.748904295085368e-05,109.7578125,851669.1048978782,1024,True,
512,512,8,16,2,cuda,0.0013744831085205078,0.0013356208801269531,0.0014500617980957031,5.3449383018950645e-05,82.724609375,745007.3366869037,1024,True,
512,512,8,64,2,cuda,0.0013877550760904949,0.0013782978057861328,0.0014050006866455078,1.2213507398025278e-05,64.7578125,737882.3667392051,1024,True,
512,512,8,256,2,cuda,0.0015834967295328777,0.0015707015991210938,0.0016016960144042969,1.3217844220462274e-05,63.7578125,646670.1073023839,1024,True,
512,512,16,16,2,cuda,0.001533826192220052,0.0015282630920410156,0.0015442371368408203,7.367438433854922e-06,115.7578125,667611.4967875648,1024,True,
512,512,16,64,2,cuda,0.0015385150909423828,0.0015294551849365234,0.0015485286712646484,7.81586383383703e-06,115.7578125,665576.8318611499,1024,True,
512,512,16,256,2,cuda,0.0015305678049723308,0.0015244483947753906,0.0015423297882080078,8.319256002236512e-06,115.7578125,669032.758087128,1024,True,
512,768,8,16,2,cuda,0.001680135726928711,0.001672506332397461,0.0016903877258300781,7.531914233651788e-06,72.974609375,609474.5701717043,1024,True,
512,768,8,64,2,cuda,0.0016833146413167317,0.0016791820526123047,0.0016903877258300781,5.025048243057644e-06,69.2578125,608323.5866106417,1024,True,
512,768,8,256,2,cuda,0.0016888777414957683,0.0016787052154541016,0.0017025470733642578,1.0042552311535718e-05,67.7578125,606319.7914451085,1024,True,
512,768,16,16,2,cuda,0.0019480387369791667,0.0019412040710449219,0.001956462860107422,6.329952161070466e-06,120.5078125,525656.8981723237,1024,True,
512,768,16,64,2,cuda,0.0019555091857910156,0.001947641372680664,0.0019659996032714844,7.720738214620457e-06,120.5078125,523648.78029748844,1024,True,
512,768,16,256,2,cuda,0.001955906550089518,0.0019462108612060547,0.0019693374633789062,9.803871957456267e-06,120.7578125,523542.3951891431,1024,True,
512,1024,8,16,2,cuda,0.002839247385660807,0.0028333663940429688,0.0028448104858398438,4.677435229480159e-06,75.7578125,360658.95672619384,1024,True,
512,1024,8,64,2,cuda,0.0028362274169921875,0.0028285980224609375,0.0028450489044189453,6.768736632622905e-06,72.7578125,361042.98049764626,1024,True,
512,1024,8,256,2,cuda,0.002836306889851888,0.002828359603881836,0.002844572067260742,6.622526377359918e-06,72.7578125,361032.8641318053,1024,True,
512,1024,16,16,2,cuda,0.0030554930369059243,0.003049612045288086,0.0030667781829833984,7.98217743523262e-06,124.7578125,335134.1297890603,1024,True,
512,1024,16,64,2,cuda,0.0030518372853597007,0.003045320510864258,0.003061056137084961,6.7021588142102605e-06,124.7578125,335535.58209421625,1024,True,
512,1024,16,256,2,cuda,0.0030481815338134766,0.0030412673950195312,0.003062009811401367,9.778068854527415e-06,124.7578125,335937.99734063353,1024,True,
1024,256,8,16,2,cuda,0.0017766157786051433,0.0017690658569335938,0.0017845630645751953,6.332944810592821e-06,221.015625,1152753.4679490046,2048,True,
1024,256,8,64,2,cuda,0.0017807483673095703,0.0017771720886230469,0.0017876625061035156,4.890003224345894e-06,347.115234375,1150078.2691123309,2048,True,
1024,256,8,256,2,cuda,0.0017728010813395183,0.0017633438110351562,0.0017862319946289062,9.75737724270331e-06,347.115234375,1155233.9523916258,2048,True,
1024,256,8,1024,2,cuda,0.0017715295155843098,0.001760721206665039,0.0017855167388916016,1.0369304930559852e-05,347.115234375,1156063.1544569558,2048,True,
1024,256,16,16,2,cuda,0.0025924046834309897,0.002576589584350586,0.0026123523712158203,1.4889659681403373e-05,429.015625,790000.1157572041,2048,True,
1024,256,16,64,2,cuda,0.0027654170989990234,0.0025787353515625,0.003126382827758789,0.0002552914924231403,429.015625,740575.445469437,2048,True,
1024,256,16,256,2,cuda,0.002605994542439779,0.0025908946990966797,0.002620697021484375,1.2169991200060489e-05,429.015625,785880.3871794089,2048,True,
1024,256,16,1024,2,cuda,0.002585252126057943,0.0025751590728759766,0.0025937557220458984,7.674790799145932e-06,429.015625,792185.7908392253,2048,True,
1024,512,8,16,2,cuda,0.0025482972462972007,0.0025436878204345703,0.0025560855865478516,5.538066670158496e-06,398.982421875,803673.9053796974,2048,True,
1024,512,8,64,2,cuda,0.0025587876637776694,0.0025429725646972656,0.002575397491455078,1.3249343731409231e-05,368.94921875,800379.034568438,2048,True,
1024,512,8,256,2,cuda,0.002552509307861328,0.002545595169067383,0.002559661865234375,5.745178722358646e-06,231.015625,802347.7108163646,2048,True,
1024,512,8,1024,2,cuda,0.0025495688120524087,0.0025398731231689453,0.002561807632446289,9.1335028957104e-06,231.015625,803273.0830086344,2048,True,
1024,512,16,16,2,cuda,0.003352959950764974,0.003345489501953125,0.003365039825439453,8.62124864090005e-06,439.015625,610803.5974401516,2048,True,
1024,512,16,64,2,cuda,0.0033469200134277344,0.0033435821533203125,0.003353118896484375,4.387592869390571e-06,439.015625,611905.8692121385,2048,True,
1024,512,16,256,2,cuda,0.0033467610677083335,0.003331422805786133,0.0033674240112304688,1.5172032910739302e-05,439.015625,611934.9300911854,2048,True,
1024,512,16,1024,2,cuda,0.003342231114705404,0.0033369064331054688,0.0033502578735351562,5.775878369206308e-06,439.015625,612764.3270954702,2048,True,
1024,768,8,16,2,cuda,0.003514528274536133,0.003509998321533203,0.0035190582275390625,3.698691138655375e-06,394.982421875,582724.0073265043,2048,True,
1024,768,8,64,2,cuda,0.0035099188486735025,0.0035076141357421875,0.003511190414428711,1.632582234078577e-06,349.19921875,583489.2737688215,2048,True,
1024,768,8,256,2,cuda,0.0035096009572347007,0.0035028457641601562,0.0035207271575927734,7.927392857575417e-06,346.94921875,583542.1248613029,2048,True,
1024,768,8,1024,2,cuda,0.0035092830657958984,0.0035049915313720703,0.0035123825073242188,3.132884239264651e-06,347.19921875,583594.9855289082,2048,True,
