seq_len,d_model,nhead,batch_size,window_size,memory_mb,time_ms,tokens_per_sec
512,512,8,4,64,93.03955078125,0.6442785263061523,3178749.432705473
512,512,8,4,128,101.07080078125,0.6534337997436523,3134211.913744664
512,512,8,4,256,117.13330078125,0.6418228149414062,3190911.809806835
1024,512,8,4,64,149.0791015625,0.6675243377685547,6136105.858989928
1024,512,8,4,128,165.1416015625,0.6562471389770508,6241551.020526794
1024,512,8,4,256,197.2666015625,0.990009307861328,4137334.838647529
2048,512,8,4,64,261.158203125,0.9557008743286133,8571719.687663715
2048,512,8,4,128,293.283203125,1.0733842849731445,7631935.845050088
2048,512,8,4,256,357.533203125,1.2865781784057617,6367277.276652521
4096,512,8,4,64,484.31640625,1.7588138580322266,9315368.948895214
4096,512,8,4,128,548.56640625,1.9547462463378904,8381650.575206128
4096,512,8,4,256,677.06640625,2.3563623428344727,6953090.236661844
8192,512,8,4,64,932.6328125,3.3003807067871094,9928551.555465657
8192,512,8,4,128,1061.1328125,3.675365447998047,8915576.005604712
8192,512,8,4,256,1318.1328125,4.460358619689941,7346494.4848488085
