seq_len,d_model,nhead,batch_size,window_size,memory_mb,time_ms,tokens_per_sec
512,512,8,4,64,53.00927734375,0.8997917175292969,2276082.297827239
512,512,8,4,128,70.009765625,0.9756088256835938,2099202.001955034
512,512,8,4,256,104.0107421875,0.8208751678466797,2494898.2259657276
1024,512,8,4,64,105.01806640625,1.04522705078125,3918765.7810218977
1024,512,8,4,128,139.0185546875,1.2159347534179688,3368601.8007843136
1024,512,8,4,256,204.01953125,1.0042190551757812,4078791.354226021
2048,512,8,4,64,209.03564453125,1.0344982147216797,7918815.019128831
2048,512,8,4,128,276.0361328125,1.1093616485595703,7384426.9004943045
2048,512,8,4,256,404.037109375,1.5931129455566406,5142133.847351093
4096,512,8,4,64,417.07080078125,1.1899471282958984,13768678.96934482
4096,512,8,4,128,548.0712890625,1.8689632415771484,8766357.537441
4096,512,8,4,256,804.072265625,2.852916717529297,5742894.596022063
8192,512,8,4,64,833.14111328125,2.2466182708740234,14585477.392762389
8192,512,8,4,128,1092.1416015625,3.345489501953125,9794680.264538199
8192,512,8,4,256,1604.142578125,5.59234619140625,5859436.965893588
