attention_type,mode,complexity,batch_size,time_ms,memory_mb,seq_len,tokens_per_sec,window_size
classical,TRAINING,O(n²),1,3.1998634338378906,108.0166015625,1024,320013.6571990582,
sdpa_full,TRAINING,O(n²),1,4.184699058532715,136.07958984375,1024,244700.98940855407,
classical_windowed,TRAINING,O(nw),1,3.3324718475341797,136.07958984375,1024,307279.4150557328,32.0
sdpa_sliding,TRAINING,O(n),1,5.098676681518555,97.009765625,1024,200836.425598773,32.0
classical,TRAINING,O(n²),1,4.657793045043945,448.0166015625,4096,879386.430523848,
sdpa_full,TRAINING,O(n²),1,10.660147666931152,448.0166015625,4096,384234.82750677114,
classical_windowed,TRAINING,O(nw),1,4.722929000854492,521.0166015625,4096,867258.432057508,32.0
sdpa_sliding,TRAINING,O(n),1,8.909058570861816,229.0361328125,4096,459756.77086650627,32.0
classical,TRAINING,O(n²),1,52.47504711151123,5416.0166015625,16384,312224.5886732308,
sdpa_full,TRAINING,O(n²),1,98.87089729309082,5416.0166015625,16384,165711.04792780036,
classical_windowed,TRAINING,O(nw),1,53.920960426330566,6472.0166015625,16384,303852.154532459,32.0
sdpa_sliding,TRAINING,O(n),1,95.07856369018555,1540.12646484375,16384,172320.65109215814,32.0
