word_raw,count
what,43867
um,2634
love,1219
winnie,33
one,18424
bad,667
there,17463
is,33247
the,95530
all,10154
you,114059
mommy,4881
give,2762
this,24681
so,9107
can,17024
now,9266
of,17549
do,27116
apple,962
a,65066
rub,98
hi,1842
poh,4
pretty,2157
coming,1113
get,11455
last,1297
gonna,10380
it,53730
said,5734
by,1830
see,16338
stay,1097
got,6150
went,2617
yellow,1145
backwards,157
think,9530
to,42483
that,41067
light,972
ya,2292
has,3559
gave,624
mhm,4025
we,17758
yes,6549
feet,782
taste,328
shake,459
and,45270
water,2279
face,996
house,2719
woof,275
really,2818
know,11998
hear,1217
across,204
down,7164
tired,616
over,5975
asleep,197
glad,195
trunk,159
like,17035
okay,23111
hopping,20
something,3311
salad,273
ate,2006
your,22422
head,1471
table,1238
uh,2403
drawing,246
prince,137
percy,123
right,14360
pink,647
scar,69
aunt,227
fingers,393
put,12023
be,7804
an,3415
bear,2811
some,8394
backpack,462
n,290
baby,5302
she,9224
moon,1230
yeah,18648
chair,1426
airplane,500
bath,1035
here,16461
want,13465
did,12544
trail,20
go,15721
tweet,123
b,405
have,18409
up,12569
saying,657
many,1382
visit,179
name,2204
walks,342
in,27518
drinking,231
thank,3204
thinking,261
outside,931
how,8870
was,11708
well,7223
sandwiches,48
daddy,3549
babies,403
max,331
must,901
spilled,131
on,24565
chimpanzee,7
deborah,64
pigs,198
i,43635
tommy,74
his,6219
who,5473
forgot,364
just,8147
dancing,252
wrote,95
yum,310
look,11319
snarls,11
card,142
ache,161
my,7563
huh,7126
into,2016
grandma,421
goes,2294
toy,545
start,646
hunter,10
but,7214
he,19102
turn,2448
putting,543
two,4737
any,2193
nice,3465
were,3495
set,587
days,241
dinner,544
pulling,142
back,5487
come,7853
anything,1112
biggest,71
rush,46
puzzle,534
caterpillar,1228
wow,2512
not,10260
birthday,891
treats,25
about,5994
abe,1316
red,2186
post,34
long,1359
honk,57
story,1270
onto,256
wash,612
closed,236
eh,130
alright,4329
oh,28962
when,5648
door,1302
neat,374
say,5582
bird,1041
parked,22
special,372
these,3830
had,3356
woke,100
shelves,10
white,832
would,4833
time,3368
him,4577
excellent,176
dentist,60
car,2423
stump,16
call,1418
hole,618
strong,194
caught,240
fix,946
potato,282
bowl,559
wanna,6227
great,1641
calm,48
erin,23
lollipop,212
within,13
squeak,170
kind,2260
lots,583
are,17847
good,9541
bootie,10
could,2849
big,5321
knife,169
tomorrow,652
four,1326
taking,544
with,12312
noise,518
tricky,36
conductor,18
first,2073
fast,523
push,1341
fits,184
green,1742
totally,35
fifth,28
animals,854
kitten,162
different,871
kitty,886
work,1183
dudley,31
quite,284
they,10824
her,6358
then,5800
once,430
maybe,2577
hit,609
through,2544
me,14001
