word,count
'bout,4
'cause,5
'em,97
'kay,3
'round,1
'scuse,2
A,22
A's,1
Aad,1
Aady,1
Aaron,6
Aaron's,1
Ab,1
Aba,1
Abbey,1
Abbie,28
Abbott,3
Abby,17
Abe,1316
Abe'll,1
Abe's,23
Abu,3
Abuela,1
Abuelo,3
Abyss,1
Ace,2
Ace's,2
Acre,1
Ada,3
Ada's,2
Adam,1375
Adam's,59
Adams,2
Adamy,2
Adan,1
Adar,1
Add,1
Adda,15
Adda's,1
Adela,1
Adele,1
Adi,4
Adler's,1
Adrian,5
Adrienne,3
Adrienne's,1
Adu,1
Adventure,1
Advil,1
Ady,1
Aean,1
Af,2
Affair's,1
Afri,2
Afric,1
Africa,48
African,300
Afrin,1
Agatha,4
Agatha's,1
Age,3
Aggie,4
Aggy,1
Agnus,1
Agraba,2
Agrabah,1
Agrabah's,1
Agricultural,1
Aid,6
Aim,1
Aimee,30
Ainge,2
Air,1
Aires,1
Ais,26
Aislinn,115
Aislinn's,1
Ajax,2
Akhmed,1
Al,6
Al's,6
Alabama,13
Aladdin,15
Alador,2
Alan,12
Alan's,1
Alana,1
Alaska,21
Alaska's,2
Albert,8
Albert's,3
Albuquerque,1
Alec,39
Alec's,10
Alex,1117
Alex's,37
Alexander,12
Alexandra,1
Alexis,8
Alf,7
Ali,4
Alice,50
Alice's,6
Alicia,1
Alidar,2
Alidar's,2
Aline,1
Alisha,2
Alissa,23
Alissa'has,1
Alissa's,2
All,3
Allegiance,2
Allen,16
Allendale,1
Alli,3
Allibunny,1
Alligator,19
Allisi,1
Allison,15
Allison's,1
Allosaurus,1
Allsberg,1
Allston,1
Ally,4
Almanac,3
Alou,3
Alpine,1
Alps,2
Alston,2
Alto,1
Altosaurus,2
Alvin,1
Alvin's,2
Alzheimer's,2
Am,2
Amanda,216
Amanda's,16
Amara,2
Amara's,3
Amaras',1
Amasa's,3
Amazon,2
Amber,1
Amber's,3
Amelia,19
Amelia's,1
Amen,1
America,6
America's,1
American,12
Amphitrite,1
Amy,41
Amy's,3
An,1
Ana,88
Ana'll,1
Ana's,21
Anabella,1
Anaheim,4
Ananheim,1
Anastasia,7
Anatasaurus,1
Anchor,3
Ancy,1
And,5
Andrea,3
Andrea's,1
Andreas,5
Andrena,1
Andres,2
Andrew,91
Andrew's,8
Andy,70
Andy's,4
Angel,13
Angela,6
Angela's,1
Angelo,1
Angelop,5
Angels,1
Angie,3
Angus,4
Animal,7
Animals,98
Anita,4
Anita's,1
Ankylor,1
Ankylosaur,1
Ann,205
Ann's,12
Anna,61
Anna's,9
Anne,72
Anne's,6
Annie,93
Annie's,12
Annieken,1
Ant,26
Antarctica,2
Anthony,25
Anthony's,3
Anya,1
Apatosaurus,2
Apes,1
Apollo,1
Appalachian,1
Appel,1
Appel's,1
Apple,16
Applebaums,1
Appledumpling,10
Appledumpling's,1
April,102
April's,5
Aquada,1
Arabia,1
Arby's,1
Arctic,1
Argentina,1
Ari,3
Ariel,188
Ariel's,32
Arisda,1
Ariva,2
Arizona,14
Arkansas,6
Arlena,3
Arlene,2
Arlington,2
Arlo,35
Armada,1
Arnie,1
Arnie's,1
Arnold,5
Around,6
Arrows,1
Arsenio,6
Art,6
Arte,6
Arte's,7
Arthur,91
Arthur's,21
Arthurs,5
Arts,2
Aruba,1
As,1
Asha,20
Asha's,2
Ashavari,1
Ashay,9
Ashley,2
Asian,259
Asians,1
Asparagus,1
Asparagus',1
Astra,39
Atina,1
Atkins,1
Atlanta,1
Atlantic,1
Atlantica,1
Attydramatic,1
Auburn,5
Audra,1
Audrey,1
August,29
Auld,1
Auldi,1
Aun,1
Aunt,149
Aunt's,1
Auntie,235
Auntie's,31
Aunty,14
Aunty's,1
Aurora,21
Aurora's,3
Austin,3
Australia,10
Australian,4
Autrey,2
Aveno,1
Avenue,5
Avna,1
Avon,4
B,57
Ba,1
Baa,1
Baba,3
Babajee,1
Babaji,22
Babaji's,5
Babar,28
Babar's,3
Babbette,4
Babe,7
Babes,17
Babette,3
Babi,1
Babies,43
Babo,1
Baby,1047
Baby's,1
Bacardi,1
Back,3
Backpack,5
Backpack's,1
Bad,1
Badega,11
Badega's,1
Badger,8
Baggy,3
Bagwell,1
Bahamas,2
Bailey,1
Bake,1
Baker,1
Balakrishnan's,1
Baldwin,2
Baldy,13
Baldy's,2
Balentine,1
Balinksi,1
Balinski,2
Balinsky,1
Ball,13
Ballerina,3
Balloon,248
Balsamic,1
Baltimore,7
Bam,48
Bam's,7
Bambi,82
Bambi's,8
Bananas,6
Banberry,1
Banbury,4
Band,2
Bandaid,1
Bandaids,2
Bank,3
Banks,1
Banzai,6
Baow,1
Barb,1
Barbar,1
Barbara,53
Barbara's,5
Barbie,7
Barbies,5
Barkley,2
Barley,1
Barley's,1
Barlow,3
Barnaby,1
Barnacle,1
Barnes,35
Barnes',1
Barnes's,2
Barney,19
Barney's,2
Barolin,1
Barosaurus,1
Barrier,1
Barron,3
Barry,2
Bart,7
Barthopeyew,2
Bartley's,3
Bash,7
Basha,5
Bashful,7
Bate,2
Bati,1
Batman,29
Batman's,3
Batsey,1
Bausch,2
Bawl,1
Baxter,3
Bay,2
Baybanks,1
Beach,10
Beach's,1
Beanstalk,2
Bear,1145
Bear's,86
Bearenstein,2
Bears,22
Beast,5
Beatle,6
Beatle's,1
Beatlemania,1
Beatles,9
Beatrix,1
Beaudeaux,10
Beaudezux,1
Beauty,32
Beauty's,2
Beaver,50
Beaver's,2
Beca,3
Becky,81
Becky's,26
Bed,1
Bedelia,11
Bedelia's,2
Bedtime,2
Bee,1
Beebee,1
Beefeater,1
Beefeaters,1
Beeferonio,1
Beener,7
Beep,1
Bees,1
Beetle,11
Beetlejuice's,1
Before,2
Bekaer,1
Belgium,1
Bell,3
Bell's,6
Belle,57
Belle's,9
Belles,2
Bellows,1
Bells,4
Bellugi,1
Belmont,1
Beluga,6
Ben,65
Ben's,8
Benadryl,3
Benefit,1
Bengy,1
Benjamin,18
Benji,2
Benny,14
Benny's,3
Bens,1
Benson's,2
Berenstain,1
Berenstein,4
Berkeley,1
Berlin,1
Berlioz,3
Berm,1
Bermuda,1
Bernard,1
Bernice,3
Bernie,4
Bernies,2
Berringers,2
Berserk,1
Bert,122
Bert's,9
Bertie,6
Bertie's,2
Bertram,4
Bess,7
Bessie,1
Bessy,1
Best,2
Beth,9
Beth's,2
Bethany,1
Betsy,6
Betsy's,1
Bettina,11
Bettina's,2
Betty,113
Betty's,4
Bettylou,4
Bev's,1
Beverly,7
Bibby,1
Bibi,3
Bible,7
Bickford's,1
Bicki,2
Big,66
Bigbird,1
Bilbo,2
Bill,39
Bill's,3
Biller,3
Billie,1
Billie's,1
Billy,78
Billy's,4
Bim,7
Bindergarten,11
Bindergarten's,1
Bingo,4
Binky,2
Bird,230
Bird's,10
Birdie,8
Birds',1
Birdy,2
Birthday,164
Bismol,2
Bisquick,1
Bite,2
Bites,4
Bitter,1
Bittle,1
Bj,3
Black,2
Blackbird,1
Blackfinger,3
Blacky,3
Blacky's,2
Blanche,22
Blanche's,2
Blandsworth,17
Blankie,11
Blansworth,2
Blazes,1
